Date,AAPL,GOOGL,MSFT,AMZN,BRK-B
2008-09-26,3.846052408218384,10.70589542388916,19.87315559387207,3.5350000858306885,88.5
2008-09-29,3.156857490539551,9.463034629821776,18.139698028564453,3.1675000190734863,89.16000366210938
2008-09-30,3.408783197402954,9.947858810424805,19.35819625854492,3.638000011444092,87.9000015258789
2008-10-01,3.272622585296631,10.226038932800291,19.205886840820312,3.4790000915527344,91.3000030517578
2008-10-02,3.0021040439605713,9.698740005493164,19.039066314697266,3.368000030517578,92.16000366210938
2008-10-03,2.91123104095459,9.609824180603027,19.08983612060547,3.3499999046325684,93.0
2008-10-06,2.9433209896087646,9.219877243041992,18.067169189453125,3.2614998817443848,87.80000305175781
2008-10-07,2.6740024089813232,8.593976020812988,16.848663330078125,2.9260001182556152,82.5
2008-10-08,2.692896604537964,8.397760391235352,16.68910026550293,3.0510001182556152,78.5999984741211
2008-10-09,2.661405324935913,8.170994758605957,16.174135208129883,2.799999952316284,77.0999984741211
2008-10-10,2.9031331539154053,8.246002197265625,15.593897819519045,2.8125,75.5999984741211
2008-10-13,3.3068127632141113,9.46353244781494,18.495094299316406,3.1010000705718994,78.9000015258789
2008-10-14,3.1214680671691895,9.00875759124756,17.479673385620117,2.7929999828338623,79.16000366210938
2008-10-15,2.9376227855682373,8.424087524414062,16.43524932861328,2.436000108718872,75.91999816894531
2008-10-16,3.0557875633239746,8.768084526062012,17.544952392578125,2.5144999027252197,75.30000305175781
2008-10-17,2.9211273193359375,9.252909660339355,17.35637092590332,2.5325000286102295,79.5199966430664
2008-10-20,2.952317714691162,9.421307563781738,17.929353713989258,2.6484999656677246,82.58000183105469
2008-10-21,2.743880033493042,9.009753227233888,16.94295310974121,2.5114998817443848,81.19999694824219
2008-10-22,2.905232191085815,8.833905220031738,15.6156587600708,2.499500036239624,78.97000122070312
2008-10-23,2.9460196495056152,8.750699996948242,16.188642501831055,2.5160000324249268,77.0
2008-10-24,2.8905370235443115,8.427068710327148,15.927536010742188,2.447999954223633,74.26000213623047
2008-10-27,2.76187515258789,8.183661460876465,15.361804962158203,2.4790000915527344,70.4000015258789
2008-10-28,2.9964048862457275,9.15877628326416,16.754375457763672,2.802000045776367,70.19999694824219
2008-10-29,3.1355648040771484,8.891776084899902,16.681846618652344,2.8445000648498535,73.9000015258789
2008-10-30,3.330205202102661,8.933749198913574,16.413484573364258,2.8355000019073486,74.5999984741211
2008-10-31,3.226736307144165,8.925555229187012,16.195894241333008,2.861999988555908,76.80000305175781
2008-11-03,3.207841634750366,8.605897903442383,16.406232833862305,2.7885000705718994,77.19999694824219
2008-11-04,3.328707218170166,9.11382007598877,17.066261291503906,2.922499895095825,79.0
2008-11-05,3.0980746746063232,8.50033950805664,16.014575958251953,2.5989999771118164,77.80000305175781
2008-11-06,2.9721126556396484,8.226630210876465,15.144219398498535,2.361000061035156,74.0
2008-11-07,2.946319818496704,8.224644660949707,15.593897819519045,2.4605000019073486,73.72000122070312
2008-11-10,2.8755409717559814,7.917654037475586,15.448843002319336,2.4230000972747803,70.77999877929688
2008-11-11,2.842251777648926,7.735844135284424,15.376307487487791,2.315000057220459,69.19999694824219
2008-11-12,2.7027924060821533,7.2276716232299805,14.723541259765623,2.078000068664551,67.19999694824219
2008-11-13,2.892336845397949,7.75124454498291,15.412582397460938,2.246500015258789,68.5
2008-11-14,2.7063910961151123,7.70007848739624,14.549473762512209,2.0875000953674316,67.77999877929688
2008-11-17,2.6434102058410645,7.454188823699951,14.012754440307615,1.9845000505447388,62.79999923706055
2008-11-18,2.6964945793151855,7.38712739944458,14.326739311218262,1.9220000505447388,62.5
2008-11-19,2.58792781829834,6.958932399749756,13.35555934906006,1.7920000553131104,55.65999984741211
2008-11-20,2.4139792919158936,6.446784973144531,12.800601959228516,1.7515000104904177,52.400001525878906
2008-11-21,2.4766600131988525,6.518068790435791,14.370555877685549,1.893499970436096,58.279998779296875
2008-11-24,2.7876672744750977,6.394129753112793,15.108075141906738,2.125,59.0
2008-11-25,2.72318696975708,7.005378246307373,14.59692096710205,2.109499931335449,64.27999877929688
2008-11-26,2.8491485118865967,7.254745960235596,14.962024688720703,2.197999954223633,67.19999694824219
2008-11-28,2.7792701721191406,7.276352405548096,14.76486587524414,2.134999990463257,69.9800033569336
2008-12-01,2.667102575302124,6.6064887046813965,13.589224815368652,2.0234999656677246,65.5999984741211
2008-12-02,2.7732717990875244,6.833006381988525,13.983543395996094,2.059499979019165,66.72000122070312
2008-12-03,2.87614107131958,6.940304279327393,14.50929832458496,2.260499954223633,67.51000213623047
2008-12-04,2.741481304168701,6.813880920410156,13.954334259033203,2.365999937057495,65.5999984741211
2008-12-05,2.8191583156585693,7.053561687469482,14.50929832458496,2.413000106811523,67.19999694824219
2008-12-08,2.9907071590423584,7.503614902496338,15.341740608215332,2.570499897003174,70.79000091552734
2008-12-09,3.0009024143218994,7.5994873046875,15.042346954345703,2.5625,70.86000061035156
2008-12-10,2.945420265197754,7.670273780822754,15.049643516540527,2.484999895095825,68.9000015258789
2008-12-11,2.8491485118865967,7.456672191619873,14.202607154846191,2.4124999046325684,66.80000305175781
2008-12-12,2.9472200870513916,7.842645168304443,14.136889457702637,2.5625,64.83999633789062
2008-12-15,2.841651678085327,7.716224193572998,13.903227806091309,2.442500114440918,63.31999969482422
2008-12-16,2.8620450496673584,8.079097747802734,14.684547424316406,2.631500005722046,66.55999755859375
2008-12-17,2.6740024089813232,7.8297295570373535,14.35595703125,2.6589999198913574,66.0
