Date,AAPL
2008-09-26,3.846050500869751
2008-09-29,3.1568567752838135
2008-09-30,3.4087820053100586
2008-10-01,3.272622585296631
2008-10-02,3.002103328704834
2008-10-03,2.9112305641174316
2008-10-06,2.9433212280273438
2008-10-07,2.674001932144165
2008-10-08,2.6928958892822266
2008-10-09,2.661404848098755
2008-10-10,2.903132438659668
2008-10-13,3.306812286376953
2008-10-14,3.1214683055877686
2008-10-15,2.9376227855682373
2008-10-16,3.0557875633239746
2008-10-17,2.9211270809173584
2008-10-20,2.9523167610168457
2008-10-21,2.7438805103302
2008-10-22,2.90523362159729
2008-10-23,2.946019172668457
2008-10-24,2.8905367851257324
2008-10-27,2.761875867843628
2008-10-28,2.9964048862457275
2008-10-29,3.135563611984253
2008-10-30,3.330205202102661
2008-10-31,3.2267367839813232
2008-11-03,3.2078428268432617
2008-11-04,3.3287060260772705
2008-11-05,3.0980749130249023
2008-11-06,2.9721121788024902
2008-11-07,2.946320056915283
2008-11-10,2.875541925430298
2008-11-11,2.842252016067505
2008-11-12,2.702791690826416
2008-11-13,2.8923373222351074
2008-11-14,2.7063913345336914
2008-11-17,2.6434104442596436
2008-11-18,2.6964948177337646
2008-11-19,2.587928056716919
2008-11-20,2.4139790534973145
2008-11-21,2.4766604900360107
2008-11-24,2.787667751312256
2008-11-25,2.723187208175659
2008-11-26,2.8491499423980713
2008-11-28,2.7792716026306152
2008-12-01,2.6671032905578613
2008-12-02,2.7732717990875244
2008-12-03,2.876140594482422
2008-12-04,2.741480588912964
2008-12-05,2.8191580772399902
2008-12-08,2.9907073974609375
2008-12-09,3.000903606414795
2008-12-10,2.9454197883605957
2008-12-11,2.8491499423980713
2008-12-12,2.9472193717956543
2008-12-15,2.841651678085327
2008-12-16,2.8620445728302
2008-12-17,2.674001932144165
2008-12-18,2.6820991039276123
2008-12-19,2.6991946697235107
2008-12-22,2.571432113647461
2008-12-23,2.590625762939453
2008-12-24,2.550438165664673
2008-12-26,2.5735316276550293
2008-12-29,2.5975239276885986
2008-12-30,2.587928056716919
2008-12-31,2.5597355365753174
2009-01-02,2.721686363220215
2009-01-05,2.836552858352661
2009-01-06,2.7897675037384033
2009-01-07,2.729485034942627
2009-01-08,2.7801685333251953
2009-01-09,2.7165884971618652
2009-01-12,2.6590065956115723
2009-01-13,2.6305153369903564
2009-01-14,2.559135675430298
2009-01-15,2.500653028488159
2009-01-16,2.469163656234741
2009-01-20,2.345299243927002
2009-01-21,2.4841575622558594
2009-01-22,2.650007724761963
2009-01-23,2.650007724761963
2009-01-26,2.68839693069458
2009-01-27,2.7210865020751953
2009-01-28,2.8251566886901855
2009-01-29,2.789167642593384
2009-01-30,2.7030930519104004
2009-02-02,2.744478940963745
2009-02-03,2.788567304611206
2009-02-04,2.805662155151367
2009-02-05,2.8929362297058105
2009-02-06,2.9907073974609375
2009-02-09,3.0743813514709473
2009-02-10,2.934023141860962
2009-02-11,2.9037325382232666
2009-02-12,2.977210521697998
2009-02-13,2.973912477493286
2009-02-17,2.835052728652954
2009-02-18,2.830254554748535
2009-02-19,2.718388080596924
2009-02-20,2.7351839542388916
2009-02-23,2.6077213287353516
2009-02-24,2.7066917419433594
2009-02-25,2.733983278274536
2009-02-26,2.6749014854431152
2009-02-27,2.6785006523132324
2009-03-02,2.6374125480651855
2009-03-03,2.6503078937530518
2009-03-04,2.734283447265625
2009-03-05,2.6644043922424316
2009-03-06,2.558236598968506
2009-03-09,2.4925549030303955
2009-03-10,2.6581056118011475
2009-03-11,2.7795698642730713
2009-03-12,2.889636754989624
2009-03-13,2.8770408630371094
2009-03-16,2.8617446422576904
2009-03-17,2.9889070987701416
2009-03-18,3.0446906089782715
2009-03-19,3.0476901531219482
2009-03-20,3.04679012298584
2009-03-23,3.228834390640259
2009-03-24,3.1940457820892334
2009-03-25,3.1937460899353027
2009-03-26,3.295116424560547
2009-03-27,3.2045419216156006
2009-03-30,3.1337645053863525
2009-03-31,3.152658462524414
2009-04-01,3.2597272396087646
2009-04-02,3.3802900314331055
2009-04-03,3.478661060333252
2009-04-06,3.5524392127990723
2009-04-07,3.448970079421997
2009-04-08,3.488558053970337
2009-04-09,3.5860283374786377
2009-04-13,3.6055221557617188
2009-04-14,3.5482397079467773
2009-04-15,3.5281472206115723
2009-04-16,3.6424126625061035
2009-04-17,3.7014925479888916
2009-04-20,3.6139209270477295
2009-04-21,3.6517093181610107
2009-04-22,3.644211769104004
2009-04-23,3.760875940322876
2009-04-24,3.715890645980835
2009-04-27,3.7407822608947754
2009-04-28,3.715890645980835
2009-04-29,3.7530789375305176
2009-04-30,3.773771286010742
2009-05-01,3.8160605430603027
2009-05-04,3.9609169960021973
2009-05-05,3.9801101684570312
2009-05-06,3.9738121032714844
2009-05-07,3.870645046234131
2009-05-08,3.874542713165283
2009-05-11,3.885939359664917
2009-05-12,3.73148512840271
2009-05-13,3.5836288928985596
2009-05-14,3.6873979568481445
2009-05-15,3.6715035438537598
2009-05-18,3.798365831375122
2009-05-19,3.8223581314086914
2009-05-20,3.7749710083007812
2009-05-21,3.724287986755371
2009-05-22,3.673903226852417
2009-05-26,3.9222283363342285
2009-05-27,3.9903082847595215
2009-05-28,4.05088996887207
2009-05-29,4.073083877563477
2009-06-01,4.179253101348877
2009-06-02,4.1834516525268555
2009-06-03,4.227237701416016
2009-06-04,4.310912609100342
2009-06-05,4.338804721832275
2009-06-08,4.314211845397949
2009-06-09,4.2803239822387695
2009-06-10,4.206244468688965
2009-06-11,4.197245121002197
2009-06-12,4.10787296295166
