Date,BRK-B
2008-09-26,88.5
2008-09-29,89.16000366210938
2008-09-30,87.9000015258789
2008-10-01,91.30000305175781
2008-10-02,92.16000366210938
2008-10-03,93.0
2008-10-06,87.80000305175781
2008-10-07,82.5
2008-10-08,78.5999984741211
2008-10-09,77.0999984741211
2008-10-10,75.5999984741211
2008-10-13,78.9000015258789
2008-10-14,79.16000366210938
2008-10-15,75.91999816894531
2008-10-16,75.30000305175781
2008-10-17,79.5199966430664
2008-10-20,82.58000183105469
2008-10-21,81.19999694824219
2008-10-22,78.97000122070312
2008-10-23,77.0
2008-10-24,74.26000213623047
2008-10-27,70.4000015258789
2008-10-28,70.19999694824219
2008-10-29,73.9000015258789
2008-10-30,74.5999984741211
2008-10-31,76.80000305175781
2008-11-03,77.19999694824219
2008-11-04,79.0
2008-11-05,77.80000305175781
2008-11-06,74.0
2008-11-07,73.72000122070312
2008-11-10,70.77999877929688
2008-11-11,69.19999694824219
2008-11-12,67.19999694824219
2008-11-13,68.5
2008-11-14,67.77999877929688
2008-11-17,62.79999923706055
2008-11-18,62.5
2008-11-19,55.65999984741211
2008-11-20,52.400001525878906
2008-11-21,58.279998779296875
2008-11-24,59.0
2008-11-25,64.27999877929688
2008-11-26,67.19999694824219
2008-11-28,69.9800033569336
2008-12-01,65.5999984741211
2008-12-02,66.72000122070312
2008-12-03,67.51000213623047
2008-12-04,65.5999984741211
2008-12-05,67.19999694824219
2008-12-08,70.79000091552734
2008-12-09,70.86000061035156
2008-12-10,68.9000015258789
2008-12-11,66.80000305175781
2008-12-12,64.83999633789062
2008-12-15,63.31999969482422
2008-12-16,66.55999755859375
2008-12-17,66.0
2008-12-18,65.5999984741211
2008-12-19,64.23999786376953
2008-12-22,63.97999954223633
2008-12-23,62.86000061035156
2008-12-24,62.29999923706055
2008-12-26,62.2599983215332
2008-12-29,61.7599983215332
2008-12-30,61.119998931884766
2008-12-31,64.27999877929688
2009-01-02,66.45999908447266
2009-01-05,66.9800033569336
2009-01-06,66.66000366210938
2009-01-07,63.79999923706055
2009-01-08,65.33999633789062
2009-01-09,62.81999969482422
2009-01-12,62.779998779296875
2009-01-13,63.959999084472656
2009-01-14,62.0
2009-01-15,61.86000061035156
2009-01-16,60.5
2009-01-20,57.65999984741211
2009-01-21,58.779998779296875
2009-01-22,59.15999984741211
2009-01-23,56.97999954223633
2009-01-26,56.0
2009-01-27,57.11000061035156
2009-01-28,59.880001068115234
2009-01-29,58.0
2009-01-30,59.779998779296875
2009-02-02,59.08000183105469
2009-02-03,59.599998474121094
2009-02-04,59.880001068115234
2009-02-05,57.41999816894531
2009-02-06,58.20000076293945
2009-02-09,58.52000045776367
2009-02-10,56.65999984741211
2009-02-11,57.900001525878906
2009-02-12,57.93000030517578
2009-02-13,57.20000076293945
2009-02-17,55.400001525878906
2009-02-18,52.29999923706055
2009-02-19,50.33000183105469
2009-02-20,47.7400016784668
2009-02-23,47.20000076293945
2009-02-24,51.04999923706055
2009-02-25,51.34000015258789
2009-02-26,51.279998779296875
2009-02-27,51.279998779296875
2009-03-02,48.880001068115234
2009-03-03,47.400001525878906
2009-03-04,49.0
2009-03-05,46.0
2009-03-06,46.540000915527344
2009-03-09,46.20000076293945
2009-03-10,55.099998474121094
2009-03-11,54.79999923706055
2009-03-12,55.61000061035156
2009-03-13,54.83000183105469
2009-03-16,52.84000015258789
2009-03-17,54.08000183105469
2009-03-18,54.7400016784668
2009-03-19,55.5
2009-03-20,55.060001373291016
2009-03-23,58.81999969482422
2009-03-24,58.439998626708984
2009-03-25,58.0
2009-03-26,59.15999984741211
2009-03-27,58.400001525878906
2009-03-30,56.20000076293945
2009-03-31,56.400001525878906
2009-04-01,56.380001068115234
2009-04-02,58.119998931884766
2009-04-03,60.08000183105469
2009-04-06,59.939998626708984
2009-04-07,58.400001525878906
2009-04-08,58.29999923706055
2009-04-09,61.02000045776367
2009-04-13,61.439998626708984
2009-04-14,59.880001068115234
2009-04-15,59.65999984741211
2009-04-16,60.5
2009-04-17,60.2400016784668
2009-04-20,58.599998474121094
2009-04-21,58.0
2009-04-22,56.02000045776367
2009-04-23,56.2599983215332
2009-04-24,58.20000076293945
2009-04-27,58.619998931884766
2009-04-28,58.22999954223633
2009-04-29,61.470001220703125
2009-04-30,61.29999923706055
2009-05-01,60.880001068115234
2009-05-04,62.29999923706055
2009-05-05,61.939998626708984
2009-05-06,61.79999923706055
2009-05-07,61.040000915527344
2009-05-08,62.63999938964844
2009-05-11,59.20000076293945
2009-05-12,58.779998779296875
2009-05-13,57.40999984741211
2009-05-14,58.38999938964844
2009-05-15,58.0
2009-05-18,58.86000061035156
2009-05-19,60.0
2009-05-20,59.599998474121094
2009-05-21,58.58000183105469
2009-05-22,58.15999984741211
2009-05-26,59.779998779296875
2009-05-27,58.65999984741211
2009-05-28,58.0
2009-05-29,59.439998626708984
2009-06-01,59.689998626708984
2009-06-02,59.959999084472656
2009-06-03,58.47999954223633
2009-06-04,58.65999984741211
2009-06-05,58.400001525878906
2009-06-08,58.63999938964844
2009-06-09,59.560001373291016
2009-06-10,58.5
2009-06-11,59.29999923706055
2009-06-12,59.470001220703125
2009-06-15,58.58000183105469
2009-06-16,58.220001220703125
2009-06-17,57.47999954223633
2009-06-18,56.58000183105469
2009-06-19,56.099998474121094
2009-06-22,55.599998474121094
2009-06-23,55.22999954223633
2009-06-24,55.880001068115234
2009-06-25,56.040000915527344
2009-06-26,56.02000045776367
2009-06-29,56.900001525878906
2009-06-30,57.91999816894531
2009-07-01,58.47999954223633
