Date,MSFT
2008-09-26,19.873157501220703
2008-09-29,18.139692306518555
2008-09-30,19.358190536499023
2008-10-01,19.205886840820312
2008-10-02,19.039064407348633
2008-10-03,19.089834213256836
2008-10-06,18.067167282104492
2008-10-07,16.848663330078125
2008-10-08,16.689096450805664
2008-10-09,16.174137115478516
2008-10-10,15.593897819519043
2008-10-13,18.49509048461914
2008-10-14,17.479665756225586
2008-10-15,16.435243606567383
2008-10-16,17.54494857788086
2008-10-17,17.356374740600586
2008-10-20,17.929370880126953
2008-10-21,16.942956924438477
2008-10-22,15.615654945373535
2008-10-23,16.188640594482422
2008-10-24,15.927538871765137
2008-10-27,15.361808776855469
2008-10-28,16.754375457763672
2008-10-29,16.681848526000977
2008-10-30,16.413496017456055
2008-10-31,16.195894241333008
2008-11-03,16.406232833862305
2008-11-04,17.066247940063477
2008-11-05,16.014568328857422
2008-11-06,15.144208908081055
2008-11-07,15.593897819519043
2008-11-10,15.448841094970703
2008-11-11,15.37631607055664
2008-11-12,14.723539352416992
2008-11-13,15.412575721740723
2008-11-14,14.549470901489258
2008-11-17,14.012752532958984
2008-11-18,14.326742172241211
2008-11-19,13.355560302734375
2008-11-20,12.800600051879883
2008-11-21,14.37055492401123
2008-11-24,15.108071327209473
2008-11-25,14.596921920776367
2008-11-26,14.96202278137207
2008-11-28,14.764864921569824
2008-12-01,13.589226722717285
2008-12-02,13.983540534973145
2008-12-03,14.509299278259277
2008-12-04,13.954337120056152
2008-12-05,14.509299278259277
2008-12-08,15.341740608215332
2008-12-09,15.04234790802002
2008-12-10,15.049656867980957
2008-12-11,14.20260238647461
2008-12-12,14.136882781982422
2008-12-15,13.903220176696777
2008-12-16,14.684548377990723
2008-12-17,14.355956077575684
2008-12-18,14.09307861328125
2008-12-19,13.961634635925293
2008-12-22,14.005450248718262
2008-12-23,14.078475952148438
2008-12-24,13.998144149780273
2008-12-26,13.968937873840332
2008-12-29,13.844799041748047
2008-12-30,14.122281074523926
2008-12-31,14.195310592651367
2009-01-02,14.845193862915039
2009-01-05,14.983939170837402
2009-01-06,15.159183502197266
2009-01-07,14.246417045593262
2009-01-08,14.691848754882812
2009-01-09,14.253721237182617
2009-01-12,14.217212677001953
2009-01-13,14.472784042358398
2009-01-14,13.939727783203125
2009-01-15,14.049253463745117
2009-01-16,14.392463684082031
2009-01-20,13.494302749633789
2009-01-21,14.151494026184082
2009-01-22,12.493911743164062
2009-01-23,12.55963134765625
2009-01-26,12.873621940612793
2009-01-27,12.895528793334961
2009-01-28,13.173008918762207
2009-01-29,12.844416618347168
2009-01-30,12.486616134643555
2009-02-02,13.019664764404297
2009-02-03,13.508904457092285
2009-02-04,13.60383129119873
2009-02-05,13.903220176696777
2009-02-06,14.355956077575684
2009-02-09,14.195310592651367
2009-02-10,13.727965354919434
2009-02-11,14.027353286743164
2009-02-12,14.063863754272461
2009-02-13,13.939727783203125
2009-02-17,13.300089836120605
2009-02-18,13.322153091430664
2009-02-19,13.167749404907227
2009-02-20,13.233919143676758
2009-02-23,12.653100967407227
2009-02-24,12.623685836791992
2009-02-25,12.469294548034668
2009-02-26,12.07227611541748
2009-02-27,11.873767852783203
2009-03-02,11.609084129333496
2009-03-03,11.67525863647461
2009-03-04,11.851713180541992
2009-03-05,11.226774215698242
2009-03-06,11.234129905700684
2009-03-09,11.1385498046875
2009-03-10,12.116390228271484
2009-03-11,12.579577445983887
2009-03-12,12.506054878234863
2009-03-13,12.241374969482422
2009-03-16,11.94728946685791
2009-03-17,12.425177574157715
2009-03-18,12.469294548034668
2009-03-19,12.601632118225098
2009-03-20,12.542816162109375
2009-03-23,13.476539611816406
2009-03-24,13.182458877563477
2009-03-25,13.145692825317383
2009-03-26,13.844148635864258
2009-03-27,13.329499244689941
2009-03-30,12.851607322692871
2009-03-31,13.505950927734375
2009-04-01,14.19705867767334
2009-04-02,14.182357788085938
2009-04-03,13.785338401794434
2009-04-06,13.792692184448242
2009-04-07,13.792692184448242
2009-04-08,14.108832359313965
2009-04-09,14.461738586425781
2009-04-13,14.402918815612793
2009-04-14,14.22646713256836
2009-04-15,13.844148635864258
2009-04-16,14.527904510498047
2009-04-17,14.116183280944824
2009-04-20,13.682402610778809
2009-04-21,13.947078704833984
2009-04-22,13.807390213012695
2009-04-23,13.910320281982422
2009-04-24,15.373406410217285
2009-04-27,14.998446464538574
2009-04-28,14.652891159057617
2009-04-29,14.888150215148926
2009-04-30,14.895513534545898
2009-05-01,14.880809783935547
2009-05-04,14.844050407409668
2009-05-05,14.549962997436523
2009-05-06,14.549962997436523
2009-05-07,14.204410552978516
2009-05-08,14.277933120727539
2009-05-11,14.204410552978516
2009-05-12,14.623477935791016
2009-05-13,14.520551681518555
2009-05-14,14.748469352722168
2009-05-15,14.866098403930664
2009-05-18,15.14548397064209
2009-05-19,15.027103424072266
2009-05-20,15.078900337219238
2009-05-21,14.664560317993164
2009-05-22,14.612768173217773
2009-05-26,15.049295425415039
2009-05-27,14.8939208984375
2009-05-28,15.130687713623047
2009-05-29,15.456242561340332
2009-06-01,15.83358097076416
2009-06-02,15.83358097076416
2009-06-03,16.077747344970703
2009-06-04,16.151729583740234
2009-06-05,16.3810977935791
2009-06-08,16.314516067504883
2009-06-09,16.336706161499023
2009-06-10,16.684452056884766
2009-06-11,16.89161491394043
2009-06-12,17.261568069458008
2009-06-15,17.328144073486328
2009-06-16,17.3503475189209
2009-06-17,17.520530700683594
2009-06-18,17.387344360351562
2009-06-19,17.809072494506836
2009-06-22,17.22457504272461
2009-06-23,17.268957138061523
