Date,GOOGL
2008-09-26,10.705897331237793
2008-09-29,9.463035583496094
2008-09-30,9.947859764099121
2008-10-01,10.226038932800293
2008-10-02,9.698741912841797
2008-10-03,9.609823226928711
2008-10-06,9.219877243041992
2008-10-07,8.593975067138672
2008-10-08,8.397759437561035
2008-10-09,8.170994758605957
2008-10-10,8.246004104614258
2008-10-13,9.463530540466309
2008-10-14,9.008759498596191
2008-10-15,8.424087524414062
2008-10-16,8.768086433410645
2008-10-17,9.252909660339355
2008-10-20,9.421305656433105
2008-10-21,9.009753227233887
2008-10-22,8.833903312683105
2008-10-23,8.750700950622559
2008-10-24,8.427069664001465
2008-10-27,8.183660507202148
2008-10-28,9.158777236938477
2008-10-29,8.89177417755127
2008-10-30,8.933751106262207
2008-10-31,8.925555229187012
2008-11-03,8.605896949768066
2008-11-04,9.113821983337402
2008-11-05,8.500336647033691
2008-11-06,8.226630210876465
2008-11-07,8.224644660949707
2008-11-10,7.9176530838012695
2008-11-11,7.735844135284424
2008-11-12,7.2276716232299805
2008-11-13,7.751244068145752
2008-11-14,7.700078964233398
2008-11-17,7.454188823699951
2008-11-18,7.38712739944458
2008-11-19,6.9589314460754395
2008-11-20,6.446784973144531
2008-11-21,6.518067836761475
2008-11-24,6.394130229949951
2008-11-25,7.005377292633057
2008-11-26,7.254744529724121
2008-11-28,7.276352882385254
2008-12-01,6.6064887046813965
2008-12-02,6.833006381988525
2008-12-03,6.940304279327393
2008-12-04,6.813880920410156
2008-12-05,7.053562164306641
2008-12-08,7.503614902496338
2008-12-09,7.599487781524658
2008-12-10,7.670273780822754
2008-12-11,7.456672191619873
2008-12-12,7.842645645141602
2008-12-15,7.71622371673584
2008-12-16,8.079095840454102
2008-12-17,7.8297295570373535
2008-12-18,7.706536769866943
2008-12-19,7.703804016113281
2008-12-22,7.379428863525391
2008-12-23,7.4020304679870605
2008-12-24,7.524478435516357
2008-12-26,7.460150241851807
2008-12-29,7.38712739944458
2008-12-30,7.528450965881348
2008-12-31,7.641214370727539
2009-01-02,7.98074197769165
2009-01-05,8.147895812988281
2009-01-06,8.297168731689453
2009-01-07,7.997878551483154
2009-01-08,8.076860427856445
2009-01-09,7.825507640838623
2009-01-12,7.76639461517334
2009-01-13,7.806879043579102
2009-01-14,7.475301742553711
2009-01-15,7.426122665405273
2009-01-16,7.443011283874512
2009-01-20,7.022764682769775
2009-01-21,7.527707099914551
2009-01-22,7.612650394439697
2009-01-23,8.064691543579102
2009-01-26,8.044075965881348
2009-01-27,8.233089447021484
2009-01-28,8.660040855407715
2009-01-29,8.527162551879883
2009-01-30,8.408191680908203
2009-02-02,8.45885944366455
2009-02-03,8.455880165100098
2009-02-04,8.519214630126953
2009-02-05,8.785473823547363
2009-02-06,9.2216157913208
2009-02-09,9.407646179199219
2009-02-10,8.904440879821777
2009-02-11,8.892768859863281
2009-02-12,9.017203330993652
2009-02-13,8.88382625579834
2009-02-17,8.510769844055176
2009-02-18,8.770320892333984
2009-02-19,8.510273933410645
2009-02-20,8.604902267456055
2009-02-23,8.197818756103516
2009-02-24,8.58006477355957
2009-02-25,8.485435485839844
2009-02-26,8.37466049194336
2009-02-27,8.394780158996582
2009-03-02,8.1257905960083
2009-03-03,8.084063529968262
2009-03-04,7.921131610870361
2009-03-05,7.591292381286621
2009-03-06,7.664063930511475
2009-03-09,7.224940299987793
2009-03-10,7.654129505157471
2009-03-11,7.896045684814453
2009-03-12,8.035632133483887
2009-03-13,8.05773639678955
2009-03-16,7.940255165100098
2009-03-17,8.328960418701172
2009-03-18,8.27332592010498
2009-03-19,8.194839477539062
2009-03-20,8.200302124023438
2009-03-23,8.658306121826172
2009-03-24,8.622786521911621
2009-03-25,8.545791625976562
2009-03-26,8.774791717529297
2009-03-27,8.63595199584961
2009-03-30,8.511515617370605
2009-03-31,8.644891738891602
2009-04-01,8.794660568237305
2009-04-02,9.00354290008545
2009-04-03,9.184358596801758
2009-04-06,9.146109580993652
2009-04-07,8.907919883728027
2009-04-08,8.991125106811523
2009-04-09,9.251916885375977
2009-04-13,9.391254425048828
2009-04-14,9.162752151489258
2009-04-15,9.42577838897705
2009-04-16,9.655274391174316
2009-04-17,9.742206573486328
2009-04-20,9.420811653137207
2009-04-21,9.474708557128906
2009-04-22,9.534070014953613
2009-04-23,9.554683685302734
2009-04-24,9.673903465270996
2009-04-27,9.585978507995605
2009-04-28,9.530343055725098
2009-04-29,9.723082542419434
2009-04-30,9.83484935760498
2009-05-01,9.77822208404541
2009-05-04,9.984123229980469
2009-05-05,10.009207725524902
2009-05-06,10.021129608154297
2009-05-07,9.85074520111084
2009-05-08,10.1170015335083
2009-05-11,10.133147239685059
2009-05-12,9.910355567932129
2009-05-13,9.675145149230957
2009-05-14,9.62447738647461
2009-05-15,9.686572074890137
2009-05-18,9.856457710266113
2009-05-19,9.907126426696777
2009-05-20,9.864901542663574
2009-05-21,9.848014831542969
2009-05-22,9.7735013961792
2009-05-26,10.043234825134277
2009-05-27,10.073039054870605
2009-05-28,10.19325065612793
2009-05-29,10.362890243530273
2009-06-01,10.594625473022461
2009-06-02,10.640325546264648
2009-06-03,10.72104549407959
2009-06-04,10.935392379760742
2009-06-05,11.035735130310059
2009-06-08,10.897890090942383
2009-06-09,10.819649696350098
2009-06-10,10.744643211364746
2009-06-11,10.655227661132812
2009-06-12,10.551904678344727
2009-06-15,10.35146713256836
2009-06-16,10.332341194152832
2009-06-17,10.311478614807129
2009-06-18,10.284156799316406
2009-06-19,10.433926582336426
2009-06-22,10.117498397827148
